Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
2,15,0.006668197,0.002025902,0.000427206,0.000427206,0.000640809,0.000534008,0,0,0,0.006408094,0.341413542,0.358544964,0.347178898
2,16,0.006369341,0.001921314,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.294699105,0.305802201,0.337976872
2,17,0.005672292,0.001087645,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.2614408,0.271013179,0.28367279
2,18,0.005444002,0.000941317,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.253585085,0.262782845,0.284565965
2,19,0.004515305,0.00102858,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.238027823,0.246384149,0.268099677
2,20,0.003862397,0.000764314,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.21927386,0.226713011,0.208320138
2,21,0.002964702,0.000669556,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.199937156,0.206383855,0.185125053
2,22,0.002057163,0.000669037,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.182675148,0.18821379,0.182826177
2,23,0.001956652,0.000521808,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.177225601,0.182516502,0.19782467
3,0,0.001956648,1.99E-05,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.165172957,0.169961927,0.147506424
3,1,0.001956648,5.96E-05,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.166120898,0.170949629,0.192108085
3,2,0.001956648,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.164683182,0.169452271,0.186256437
3,3,0.00205716,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.166586579,0.17145618,0.181288552
3,4,0.002258193,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.170399891,0.175470526,0.171466882
3,5,0.002449448,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.174027401,0.179289289,0.15891273
3,6,0.004823021,0.000306111,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.226465651,0.234407225,0.251181197
3,7,0.0060078,0.000958902,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.264637099,0.274416242,0.249817936
3,8,0.00538217,0.001167784,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.257756972,0.267119367,0.227801502
3,9,0.00545029,0.000969891,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.254295517,0.26352814,0.232438053
3,10,0.005033049,0.001183555,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.251489551,0.260518596,0.239847281
3,11,0.005563649,0.000996014,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.257063639,0.266435743,0.303558507
3,12,0.005152753,0.001235815,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.25500552,0.264206529,0.265359268
3,13,0.0056716,0.001024254,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.259779811,0.269288105,0.252724304
3,14,0.005193259,0.001251643,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.256142363,0.265399706,0.293238117
3,15,0.006070538,0.001007398,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.266942443,0.27683282,0.294070962
3,16,0.005891928,0.001218404,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.268606684,0.278529457,0.318580586
3,17,0.006334614,0.000982609,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.271352306,0.28148197,0.293370552
3,18,0.00561537,0.001168284,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.262136555,0.27173265,0.260367099
3,19,0.005224031,0.000955449,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.249586763,0.258578684,0.261025796
3,20,0.004024215,0.001047956,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.229004107,0.23688872,0.211558562
3,21,0.002962297,0.000837011,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.203758654,0.210370403,0.224341666
3,22,0.002732219,0.000706311,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.196244067,0.202495039,0.184401064
3,23,0.001956648,0.000594854,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.178826907,0.18419085,0.161310261
4,0,0.001956648,0.000635821,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.179803808,0.185208719,0.159407665
4,1,0.001956648,0.000111108,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.167204362,0.172084559,0.160261464
4,2,0.001956648,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.164531458,0.169300547,0.154220254
4,3,0.00205716,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.166434854,0.171304455,0.178759839
4,4,0.002258193,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.170248166,0.175318801,0.199045277
4,5,0.002449448,0,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.173875677,0.179137566,0.175290987
4,6,0.003707832,0.000234554,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.203407949,0.210162776,0.2261005
4,7,0.004926336,0.001173971,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.249099217,0.258011965,0.294352932
4,8,0.005588551,0.000952469,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.256358934,0.265712395,0.290590751
4,9,0.004593941,0.001203979,0.000142402,0.000142402,0.000213603,0.000178003,0,0,0,0.002136031,0.243491269,0.25210163,0.22321126
