Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors
2,13,0.015024781,0.004597913,0.001174817,0.000854412,0.001281619,0.001068016,0.000961214,0,0,0.007476109,0.313292898,0.34573178,0.363704349
2,14,0.015041335,0.004996039,0.001174817,0.000854412,0.001281619,0.001068016,0.000961214,0,0,0.007476109,0.316991103,0.349844664,0.321162359
2,15,0.016003672,0.005064754,0.001174817,0.000854412,0.001281619,0.001068016,0.000961214,0,0,0.007476109,0.32466035,0.358544964,0.408171527
2,16,0.015286419,0.004803285,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.281440434,0.305802201,0.329395218
2,17,0.013613501,0.002719113,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.250408502,0.271013179,0.299056186
2,18,0.013065604,0.002353293,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.243091885,0.262782845,0.231942197
2,19,0.010836731,0.00257145,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.228703905,0.246384149,0.218514344
2,20,0.009269752,0.001910784,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.211260412,0.226713011,0.237026851
2,21,0.007115284,0.001673891,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.193322618,0.206383855,0.185603946
2,22,0.004937192,0.001672593,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.177331942,0.18821379,0.206751616
2,23,0.004695964,0.00130452,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.172243955,0.182516502,0.19818725
3,0,0.004695956,4.97012E-05,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.160944207,0.169961927,0.191633351
3,1,0.004695956,0.000149104,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.161832507,0.170949629,0.17436313
3,2,0.004695956,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.160484253,0.169452271,0.148356053
3,3,0.004937184,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.162246934,0.17145618,0.194262058
3,4,0.005419664,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.1657788,0.175470526,0.193132871
3,5,0.005878674,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.169138553,0.179289289,0.189451624
3,6,0.011575251,0.000765278,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.217794633,0.234407225,0.260075279
3,7,0.01441872,0.002397254,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.253328205,0.274416242,0.261240166
3,8,0.012917207,0.00291946,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.247010637,0.267119367,0.292743622
3,9,0.013080697,0.002424728,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.243750652,0.26352814,0.240387952
3,10,0.012079318,0.002958889,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.241208328,0.260518596,0.277217338
3,11,0.013352758,0.002490035,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.246320888,0.266435743,0.257537114
3,12,0.012366608,0.003089538,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.244478321,0.264206529,0.303710445
3,13,0.01361184,0.002560634,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.248843569,0.269288105,0.295615978
3,14,0.012463821,0.003129108,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.245534714,0.265399706,0.237365807
3,15,0.014569291,0.002518494,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.255472972,0.27683282,0.260765746
3,16,0.014140628,0.003046009,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.257070758,0.278529457,0.278151391
3,17,0.015203073,0.002456521,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.259550313,0.28148197,0.282413323
3,18,0.013476889,0.002920709,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.25106299,0.27173265,0.284109193
3,19,0.012537675,0.002388623,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.239380324,0.258578684,0.230421336
3,20,0.009658116,0.002619891,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.22033865,0.23688872,0.251202032
3,21,0.007109513,0.002092527,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.1968963,0.210370403,0.220077903
3,22,0.006557326,0.001765779,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.189899872,0.202495039,0.184978294
3,23,0.004695956,0.001487134,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.173735698,0.18419085,0.197825638
4,0,0.004695956,0.001589553,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.174651147,0.185208719,0.17662347
4,1,0.004695956,0.000277769,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.162838772,0.172084559,0.173844145
4,2,0.004695956,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.160332529,0.169300547,0.178265038
4,3,0.004937184,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.162095209,0.171304455,0.18948482
4,4,0.005419664,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.165627075,0.175318801,0.166383452
4,5,0.005878674,0,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.168986829,0.179137566,0.1558327
4,6,0.008898797,0.000586384,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.196405532,0.210162776,0.218299586
4,7,0.011823206,0.002934927,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.238981769,0.258011965,0.296584035
4,8,0.013412523,0.002381172,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.245646638,0.265712395,0.264470659
4,9,0.011025458,0.003009949,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.233794161,0.25210163,0.270521928
4,10,0.012901861,0.002505005,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.243003641,0.26268257,0.230184973
4,11,0.011251278,0.003143529,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.236639755,0.255306625,0.282522591
4,12,0.013020366,0.002680771,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.245441923,0.265415122,0.304246672
4,13,0.011291284,0.003302092,0.000391606,0.000284804,0.000427206,0.000356005,0.000320405,0,0,0.002492036,0.23834755,0.257212988,0.28175097
