Name,Priority,Microgrid,Building,Consumption
G,1,Banshee_1,1,1500
G,1,Banshee_1,2,1500
G,1,Banshee_1,3,1500
G,3,Banshee_1,4,1500
G,3,Banshee_1,5,1500
G,3,Banshee_1,6,1500
G,2,Banshee_1,7,1500
G,2,Banshee_1,8,1500
G,2,Banshee_1,9,1500
G,2,Banshee_1,10,1500
